park,year,visits,park_name,rgn_area,tot_area,rgn_id
Alice Lake Park,2009,293226,alicelakepark,4117248.62176708,4117248.62176708,6
Bamberton Park,2009,87787,bambertonpark,266586.505483485,266586.505483485,6
Bellhouse Park,2009,2468,bellhousepark,31054.1929862764,31054.1929862764,6
Bodega Ridge Park,2009,1558,bodegaridgepark,3967202.23623831,3967202.23623831,6
Burgoyne Bay Park,2009,5835,burgoynebaypark,5012461.52449696,5012461.52449696,6
Cape Scott Park,2009,10102,capescottpark,223096246.553779,223096246.553779,4
Carmanah Walbran Park,2009,1798,carmanahwalbranpark,153353240.246816,163644831.26361,5
Cowichan River Park,2009,69479,cowichanriverpark,2381283.37258452,14045234.7121445,6
Desolation Sound Marine Park,2009,15008,desolationsoundmarinepark,81397917.118145,81397917.118145,6
Diana Lake Park,2009,13447,dianalakepark,2523626.82540361,2523626.82540361,1
Dionisio Point Park,2009,1915,dionisiopointpark,1406924.8466792,1406924.8466792,6
Discovery Island Marine Park,2009,1254,discoveryislandmarinepark,675210.475771731,675210.475771731,5
Drumbeg Park,2009,39060,drumbegpark,550660.933450546,550660.933450546,6
Elk Falls Park,2009,156656,elkfallspark,10548582.3736823,10548582.3736823,4
Englishman River Falls Park,2009,143560,englishmanriverfallspark,971149.286096643,971149.286096643,6
Fillongley Park,2009,33482,fillongleypark,264833.428192056,264833.428192056,6
Francis Point Park,2009,15817,francispointpark,843097.806592267,843097.806592267,6
French Beach Park,2009,124053,frenchbeachpark,545719.2749293,545719.2749293,5
Gabriola Sands Park,2009,24490,gabriolasandspark,59680.4931671299,59680.4931671299,6
Garibaldi Park,2009,103849,garibaldipark,37405056.6115122,1886610271.37132,6
Goldstream Park,2009,532029,goldstreampark,4788731.52848189,4788731.52848189,6
Gowlland Tod Park,2009,33665,gowllandtodpark,12813203.4213595,12813203.4213595,6
Helliwell Park,2009,50904,helliwellpark,28130888.1118606,28130888.1118606,6
Hemer Park,2009,16531,hemerpark,1096755.89778773,1096755.89778773,6
"Horne Lake
Caves Park",2009,9559,hornelakecavespark,1577716.23052645,1577716.23052645,6
Inland Lake Park,2009,25945,inlandlakepark,26757193.3870752,27579100.4506013,6
Jedediah Island Marine Park,2009,6954,jedediahislandmarinepark,6035110.00549902,6035110.00549902,6
John Dean Park,2009,30307,johndeanpark,1749675.38587125,1749675.38587125,6
Juan De Fuca Park,2009,270541,juandefucapark,15820956.9684626,15820956.9684626,5
"Kennedy Lake
Park",2009,35704,kennedylakepark,2406077.82736557,2406077.82736557,5
Kitimat River Park,2009,1719,kitimatriverpark,568884.30007429,568884.30007429,1
Koksilah River Park,2009,202,koksilahriverpark,1944564.64185608,2076297.83237753,6
Little Qualicum Falls Park,2009,279684,littlequalicumfallspark,4638961.73067469,4638961.73067469,6
Loveland Bay Park,2009,10160,lovelandbaypark,272176.704810947,272176.704810947,4
Macmillan Park,2009,842048,macmillanpark,3022182.33007833,3022182.33007833,6
Mansons Landing Park,2009,22713,mansonslandingpark,1036858.76313306,1036858.76313306,6
Maquinna Marine Park,2009,27199,maquinnamarinepark,25599798.0275614,25599798.0275614,5
Miracle Beach Park,2009,101503,miraclebeachpark,1363860.80401495,1363860.80401495,6
Montague Harbour Marine Park,2009,89686,montagueharbourmarinepark,1019777.08416331,1019777.08416331,6
Morton Lake Park,2009,9423,mortonlakepark,738071.955651232,738071.955651232,4
Mount Maxwell Park,2009,38490,mountmaxwellpark,2341397.02538607,2341397.02538607,6
Mount Seymour Park,2009,690463,mountseymourpark,35517411.229745,35517411.229745,6
Murrin Park,2009,206423,murrinpark,313301.432637416,313301.432637416,6
