"category","data_desc","data_ban2010","zone","zone_desc","origin","layer_name","layer_type","buffer","dir"
"rocky intertidal","coastal class rock or gravel (1:10, 21:23)",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Physical_CoastalClasses_MARXAN","line","1 km","bcmca/bcmca_eco_set_physical_complete/MarxanData_Physical"
"rocky intertidal","benthic hard substrate",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Physical_BenthicClasses_DATA","poly",NA,"bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical"
"rocky intertidal","algae bioband boulder cobble floor",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Algae_BoulderCobbleFloor_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae"
"rocky intertidal","invert bioband rock platform submerged",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_inverts_hab1_rockPlatformSubmerged_MARXAN","line","1 km","bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts"
"rocky intertidal","algae bioband rocky intertidal exposed",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Algae_RockyIntertidalExposed_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae"
"rocky intertidal","algae bioband rocky intertidal semiexposed",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Algae_RockyIntertidalSemiExposed_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae"
"rocky intertidal","algae bioband rocky intertidal sheltered",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Algae_RockyIntertidalSheltered_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae"
"rocky intertidal","invert bioband rock submerged high current",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_inverts_hab2_rockSubHighCurrent_MARXAN","line","1 km","bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts"
"beach","coastal class sand, sand/gravel (11:20, 24:26)",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Physical_CoastalClasses_MARXAN","line","1 km","bcmca/bcmca_eco_set_physical_complete/MarxanData_Physical"
"beach","benthic sand substrate",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Physical_BenthicClasses_DATA","poly",NA,"bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical"
"beach","invert bioband sand substrate",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_inverts_hab3_sandSubstrate_MARXAN","line","1 km","bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts"
"mud flats","coastal class sand/mud, organics (27:31)",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Physical_CoastalClasses_MARXAN","line","1 km","bcmca/bcmca_eco_set_physical_complete/MarxanData_Physical"
"mud flats","benthic mud substrate",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Physical_BenthicClasses_DATA","poly",NA,"bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical"
"mud flats","algae bioband mudflats estuarine",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_Algae_MudflatsEstuarine_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae"
"mud flats","invert bioband mudflats adjacent",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_inverts_hab4_mudflats_adjacentEst_MARXAN","line","1 km","bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts"
"salt marsh","saltmarsh bioband",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_VascPlants_SaltMarsh_Bioband_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/VascularPlants"
"surf grass","surfgrass bioband",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_VascPlants_Surfgrass_Bioband_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/VascularPlants"
"dune vegetation","dune vegetation presence",NA,"intertidal","0 - 50 m depth, 0 - 1 km from shore","chi","BCMCA_ECO_VascPlants_DuneVegetation_DATA","poly",NA,"bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/VascularPlants"
"kelp forest","kelp presence","Prov. of BC: shorezone kelp","subtidal coastal","0 - 50 m depth > 1 km from shore","chi","BCMCA_ECO_Kelp_GiantKelp_Polygons_DATA","poly",NA,"bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/Kelp"
"kelp forest","kelp presence","Prov. of BC: shorezone kelp","subtidal coastal","0 - 50 m depth > 1 km from shore","chi","BCMCA_ECO_Kelp_BullKelp_Polygons_MARXAN","poly",NA,"bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp"
"kelp forest","kelp bioband","Prov. of BC: shorezone kelp","subtidal coastal","0 - 50 m depth > 1 km from shore","chi","BCMCA_ECO_Kelp_BullKelp_Bioband_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp"
"kelp forest","kelp bioband","Prov. of BC: shorezone kelp","subtidal coastal","0 - 50 m depth > 1 km from shore","chi","BCMCA_ECO_Kelp_GiantKelp_Bioband_MARXAN","line","1 km","bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp"
