year,rgn_id,trawled_area,total_ebsa_area
2005,1,0.0,1243.5
2005,2,0.0,7708.75
2005,3,0.0,3323.25
2005,6,3.5,11.75
2005,7,0.0,69358.5
2005,8,0.0,807.75
2006,1,0.0,1243.5
2006,2,0.0,7708.75
2006,3,0.0,3323.25
2006,6,2.75,11.75
2006,7,0.0,69358.5
2006,8,0.0,807.75
2007,1,31.0,1243.5
2007,2,775.75,7708.75
2007,3,585.0,3323.25
2007,6,4.0,11.75
2007,7,0.0,69358.5
2007,8,9.5,807.75
2008,1,175.5,1243.5
2008,2,769.75,7708.75
2008,3,917.0,3323.25
2008,6,4.75,11.75
2008,7,0.0,69358.5
2008,8,8.75,807.75
2009,1,24.25,1243.5
2009,2,958.5,7708.75
2009,3,597.0,3323.25
2009,6,3.5,11.75
2009,7,0.0,69358.5
2009,8,0.25,807.75
2010,1,3.0,1243.5
2010,2,953.5,7708.75
2010,3,567.0,3323.25
2010,6,1.75,11.75
2010,7,0.0,69358.5
2010,8,4.25,807.75
2011,1,17.25,1243.5
2011,2,756.5,7708.75
2011,3,479.75,3323.25
2011,6,2.25,11.75
2011,7,0.0,69358.5
2011,8,4.25,807.75
2012,1,31.75,1243.5
2012,2,835.0,7708.75
2012,3,587.0,3323.25
2012,6,3.5,11.75
2012,7,0.0,69358.5
2012,8,4.25,807.75
2013,1,46.0,1243.5
2013,2,742.5,7708.75
2013,3,607.5,3323.25
2013,6,5.0,11.75
2013,7,0.0,69358.5
2013,8,4.25,807.75
2014,1,15.5,1243.5
2014,2,568.75,7708.75
2014,3,593.5,3323.25
2014,6,1.0,11.75
2014,7,0.0,69358.5
2014,8,0.25,807.75
2015,1,22.5,1243.5
2015,2,603.5,7708.75
2015,3,550.25,3323.25
2015,6,4.75,11.75
2015,7,0.0,69358.5
2015,8,4.25,807.75
