goal,element,element_name,po_chemical,po_chemical_3nm,po_pathogen,po_nutrient,po_nutrient_3nm,po_trash,sp_alien,sp_genetic,sp_hatcheries,hd_subtidal_sb,hd_intertidal,hd_logging,hd_mining,fp_com_hb,fp_com_lb,fp_art_lb,cc_sst,cc_acid,cc_uv,cc_slr,ss_cwbi_all,ss_cwbi_fn
AO,shellfish_closures,,,2,1,,3,,,,,,,,,,,,2,3,,1,,1
AO,salmon,,1,,,1,,,2,2,2,2,1,,,3,1,1,1,,,,,1
AO,fn_licenses,,1,,,1,,,1,1,,2,1,,,3,1,1,1,,,,,1
AO,herring_spawn,,,2,1,,3,,,,,,,,,3,,,2,,,1,,1
CPP,coastal_forest,,,,,,,,,,,,1,2,1,,,,,,,1,1,
CPP,salt_marsh,,,1,,,2,,1,,,,3,2,1,,,,,,,3,1,
CSS,coastal_forest,,,1,,,1,,,,,,3,2,1,,,,,,,1,1,
CSS,salt_marsh,,,1,,,2,,1,,,,3,2,1,,,,,,,2,1,
CW,,,,3,3,,3,3,,,,,,1,1,,,,,,,,1,
FIS,,,1,,,1,,,1,1,,2,1,,,3,1,1,1,,,,1,
HAB,salt_marsh,,,1,,,2,,1,,,,3,2,1,,,,,,,2,1,
HAB,soft_bottom,,,2,,,2,,1,,,3,,,1,3,1,1,,,,,1,
HAB,ebsa,,,2,,,2,,1,,,3,,,,,,,,,,,1,
ICO,,,,3,,,1,1,1,,,,3,,,2,,,1,1,,,1,
LE,,,,,,,,,,,,,,,,,,,,,,,3,
LSP,,,,2,,,2,3,1,,,,3,1,1,,,,,,,1,1,
MAR,,,,2,1,,3,,,,,,,,,,,,2,3,,1,1,
SAL,,,1,,,1,,,1,1,,2,1,,,3,1,1,1,,,,1,
SPP,,,2,,,3,,1,1,1,1,3,2,,,3,1,1,1,1,1,,1,
TR,,,,3,3,,3,3,,,,,,1,1,,,,,,,2,1,
