goal,base_dir,dir,scenario,status_fn,status,trend_fn,trend,weight,layer_include,layer_scale
CP,~/github/ohibc/prep,hab_cs_cp,vHS,cp_scores.csv,cp_status,cp_scores.csv,cp_trend,1,TRUE,1
CS,~/github/ohibc/prep,hab_cs_cp,vHS,cs_scores.csv,cs_status,cs_scores.csv,cs_trend,1,TRUE,1
HAB,~/github/ohibc/prep,hab_cs_cp,vHS,hab_scores.csv,hab_status,hab_scores.csv,hab_trend,0.5,TRUE,1
SPP,~/github/ohibc/prep,spp_ico,vHS,spp_status.csv,score,spp_trend.csv,score,0.5,TRUE,1
LSP,~/github/ohibc/prep,lsp,vHS,lsp_status.csv,lsp_status,lsp_trend.csv,lsp_trend,0.5,TRUE,100
ICO,~/github/ohibc/prep,spp_ico,vHS,ico_status.csv,score,ico_trend.csv,score,0.5,TRUE,1
FIS,~/github/ohibc/prep,fis,vHS,fis_scores.csv,status,fis_scores.csv,trend,1,FALSE,1
MAR,~/github/ohibc/prep,mar,vHS,mar_scores.csv,status,mar_scores.csv,trend,0,FALSE,1
LIV,~/github/ohibc/prep,liv,vHS,liv_status.csv,score,liv_trend.csv,score,.5,FALSE,1
ECO,~/github/ohibc/prep,eco,vHS,eco_status.csv,score,eco_trend.csv,score,.5,FALSE,1
